t_min,soc_pct,input_kw,pack_kw
0.0002,10,0,0
2.0002,10.3836,11,9.72
4.0002,10.7723,11,9.72
6.0002,11.1609,11,9.72
8.0002,11.5492,11,9.72
10.0002,11.9374,11,9.72
12.0002,12.3254,11,9.72
14.0002,12.7132,11,9.72
16.0002,13.1009,11,9.72
18.0002,13.4883,11,9.72
20.0002,13.8756,11,9.72
22.0002,14.2626,11,9.72
24.0002,14.6495,11,9.72
26.0002,15.0362,11,9.72
28.0002,15.4228,11,9.72
30.0002,15.8091,11,9.72
32.0002,16.1953,11,9.72
34.0002,16.5812,11,9.72
36.0002,16.967,11,9.72
38.0002,17.3526,11,9.72
40.0002,17.7381,11,9.72
42.0002,18.1233,11,9.72
44.0002,18.5084,11,9.72
46.0002,18.8932,11,9.72
48.0002,19.2779,11,9.72
50.0002,19.6625,11,9.72
52.0002,20.0468,11,9.72
54.0002,20.431,11,9.72
56.0002,20.8151,11,9.72
58.0002,21.1992,11,9.72
60.0002,21.5831,11,9.72
62.0002,21.967,11,9.72
64.0002,22.3507,11,9.72
66.0002,22.7344,11,9.72
68.0002,23.118,11,9.72
70.0002,23.5015,11,9.72
72.0002,23.8849,11,9.72
74.0002,24.2682,11,9.72
76.0002,24.6514,11,9.72
78.0002,25.0346,11,9.72
80.0002,25.4176,11,9.72
82.0002,25.8006,11,9.72
84.0002,26.1835,11,9.72
86.0002,26.5662,11,9.72
88.0002,26.9489,11,9.72
90.0002,27.3315,11,9.72
92.0002,27.7141,11,9.72
94.0002,28.0965,11,9.72
96.0002,28.4788,11,9.72
98.0002,28.8611,11,9.72
100.0002,29.2432,11,9.72
102.0002,29.6253,11,9.72
104.0002,30.0073,11,9.72
106.0002,30.3892,11,9.72
108.0002,30.7711,11,9.72
110.0002,31.1529,11,9.72
112.0002,31.5347,11,9.72
114.0002,31.9164,11,9.72
116.0002,32.2981,11,9.72
118.0002,32.6798,11,9.72
120.0002,33.0614,11,9.72
122.0002,33.4429,11,9.72
124.0002,33.8244,11,9.72
126.0002,34.2059,11,9.72
128.0002,34.5874,11,9.72
130.0002,34.9687,11,9.72
132.0002,35.3501,11,9.72
134.0002,35.7314,11,9.72
136.0002,36.1126,11,9.72
138.0002,36.4938,11,9.72
140.0002,36.875,11,9.72
142.0002,37.2561,11,9.72
144.0002,37.6372,11,9.72
146.0002,38.0182,11,9.72
148.0002,38.3992,11,9.72
150.0002,38.7802,11,9.72
152.0002,39.1611,11,9.72
154.0002,39.5419,11,9.72
156.0002,39.9228,11,9.72
158.0002,40.3035,11,9.72
160.0002,40.6843,11,9.72
162.0002,41.0649,11,9.72
164.0002,41.4456,11,9.72
166.0002,41.8262,11,9.72
168.0002,42.2067,11,9.72
170.0002,42.5872,11,9.72
172.0002,42.9677,11,9.72
174.0002,43.3481,11,9.72
176.0002,43.7285,11,9.72
178.0002,44.1088,11,9.72
180.0002,44.4891,11,9.72
182.0002,44.8694,11,9.72
184.0002,45.2496,11,9.72
186.0002,45.6297,11,9.72
188.0002,46.0098,11,9.72
190.0002,46.3899,11,9.72
192.0002,46.7699,11,9.72
194.0002,47.1499,11,9.72
196.0002,47.5299,11,9.72
198.0002,47.9098,11,9.72
200.0002,48.2896,11,9.72
202.0002,48.6694,11,9.72
204.0002,49.0492,11,9.72
206.0002,49.4289,11,9.72
208.0002,49.8086,11,9.72
210.0002,50.1882,11,9.72
212.0002,50.5678,11,9.72
214.0002,50.9474,11,9.72
216.0002,51.3269,11,9.72
218.0002,51.7063,11,9.72
220.0002,52.0858,11,9.72
222.0002,52.4651,11,9.72
224.0002,52.8445,11,9.72
226.0002,53.2238,11,9.72
228.0002,53.603,11,9.72
230.0002,53.9822,11,9.72
232.0002,54.3614,11,9.72
234.0002,54.7405,11,9.72
236.0002,55.1195,11,9.72
238.0002,55.4986,11,9.72
240.0002,55.8776,11,9.72
242.0002,56.2565,11,9.72
244.0002,56.6354,11,9.72
246.0002,57.0143,11,9.72
248.0002,57.3931,11,9.72
250.0002,57.7718,11,9.72
252.0002,58.1506,11,9.72
254.0002,58.5292,11,9.72
256.0002,58.9079,11,9.72
258.0002,59.2865,11,9.72
260.0002,59.665,11,9.72
262.0002,60.0435,11,9.72
264.0002,60.422,11,9.72
266.0002,60.8004,11,9.72
268.0002,61.1788,11,9.72
270.0002,61.5572,11,9.72
272.0002,61.9355,11,9.72
274.0002,62.3137,11,9.72
276.0002,62.6919,11,9.72
278.0002,63.0701,11,9.72
280.0002,63.4482,11,9.72
282.0002,63.8263,11,9.72
284.0002,64.2043,11,9.72
286.0002,64.5823,11,9.72
288.0002,64.9603,11,9.72
290.0002,65.3382,11,9.72
292.0002,65.716,11,9.72
294.0002,66.0939,11,9.72
296.0002,66.4717,11,9.72
298.0002,66.8494,11,9.72
300.0002,67.2271,11,9.72
302.0002,67.6047,11,9.72
304.0002,67.9823,11,9.72
306.0002,68.3599,11,9.72
308.0002,68.7374,11,9.72
310.0002,69.1149,11,9.72
312.0002,69.4924,11,9.72
314.0002,69.8698,11,9.72
316.0002,70.2471,11,9.72
318.0002,70.6244,11,9.72
320.0002,71.0017,11,9.72
322.0002,71.3789,11,9.72
324.0002,71.7561,11,9.72
326.0002,72.1332,11,9.72
328.0002,72.5103,11,9.72
330.0002,72.8874,11,9.72
332.0002,73.2644,11,9.72
334.0002,73.6414,11,9.72
336.0002,74.0183,11,9.72
338.0002,74.3952,11,9.72
340.0002,74.772,11,9.72
342.0002,75.1488,11,9.72
344.0002,75.5256,11,9.72
346.0002,75.9023,11,9.72
348.0002,76.279,11,9.72
350.0002,76.6556,11,9.72
352.0002,77.0322,11,9.72
354.0002,77.4087,11,9.72
356.0002,77.7852,11,9.72
358.0002,78.1617,11,9.72
360.0002,78.5381,11,9.72
362.0002,78.9145,11,9.72
364.0002,79.2908,11,9.72
366.0002,79.6671,11,9.72
367.77,80,0,0
