t_s,speed_kmh,torque_nm,shaft_kw,pack_kw
0.01,0,0,0,0.7
0.06,0.8751,360,2.5345,26.571
0.11,1.7721,360,5.4288,29.4752
0.16,2.669,360,8.323,32.3796
0.21,3.5659,360,11.2173,35.2842
0.26,4.4628,360,14.1115,38.189
0.31,5.3597,360,17.0057,41.0939
0.36,6.2566,360,19.8998,43.999
0.41,7.1535,360,22.7938,46.9042
0.46,8.0503,360,25.6878,49.8096
0.51,8.9471,360,28.5817,52.7151
0.56,9.8439,360,31.4755,55.6206
0.61,10.7406,360,34.3691,58.5263
0.66,11.6373,360,37.2627,61.432
0.71,12.534,360,40.1561,64.3379
0.76,13.4306,360,43.0494,67.2438
0.81,14.3272,360,45.9425,70.1497
0.86,15.2237,360,48.8355,73.0558
0.91,16.1202,360,51.7283,75.9618
0.96,17.0166,360,54.621,78.8679
1.01,17.9129,360,57.5134,81.774
1.06,18.8092,360,60.4057,84.6801
1.11,19.7055,360,63.2977,87.5862
1.16,20.6016,360,66.1895,90.4922
1.21,21.4977,360,69.0811,93.3983
1.26,22.3937,360,71.9725,96.3043
1.31,23.2897,360,74.8636,99.2103
1.36,24.1855,360,77.7544,102.1162
1.41,25.0813,360,80.645,105.0221
1.46,25.977,360,83.5353,107.9279
1.51,26.8726,360,86.4253,110.8336
1.56,27.7681,360,89.315,113.7392
1.61,28.6635,360,92.2044,116.6447
1.66,29.5588,360,95.0935,119.5501
1.71,30.454,360,97.9822,122.4554
1.76,31.3491,360,100.8706,125.3605
1.81,32.2441,360,103.7587,128.2655
1.86,33.139,360,106.6464,131.1703
1.91,34.0338,360,109.5338,134.075
1.96,34.9284,360,112.4207,136.9795
2.01,35.823,360,115.3073,139.8838
2.06,36.7174,360,118.1935,142.7879
2.11,37.6117,360,121.0792,145.6918
2.16,38.5058,360,123.9646,148.5955
2.21,39.3998,360,126.8495,151.499
2.26,40.2937,360,129.734,154.4022
2.31,41.1875,360,132.618,157.3052
2.36,42.0811,360,135.5016,160.2079
2.41,42.9745,360,138.3847,163.1104
2.46,43.8678,360,141.2673,166.0126
2.51,44.761,360,144.1495,168.9145
2.56,45.654,360,147.0311,171.8161
2.61,46.5468,360,149.9122,174.7174
2.66,47.4395,360,152.7929,177.6184
2.71,48.332,360,155.6729,180.519
2.76,49.2244,360,158.5525,183.4194
2.81,50.1166,360,161.4315,186.3193
2.86,51.0086,360,164.31,189.219
2.91,51.9004,360,167.1878,192.1182
2.96,52.7921,360,170.0652,195.0171
3.01,53.6835,360,172.9419,197.9156
3.06,54.5748,360,175.818,200.8137
3.11,55.4659,360,178.6935,203.7114
3.16,56.3568,360,181.5684,206.6087
3.21,57.2475,360,184.4427,209.5055
3.26,58.1381,360,187.3164,212.4019
3.31,59.0284,360,190.1894,215.2979
3.36,59.9185,360,193.0617,218.1934
3.41,60.8084,360,195.9334,221.0884
3.46,61.6981,360,198.8044,223.983
3.51,62.5876,360,201.6747,226.8771
3.56,63.4769,360,204.5443,229.7707
3.61,64.3659,360,207.4133,232.6638
3.66,65.2547,360,210.2815,235.5563
3.71,66.1433,360,213.149,238.4484
3.76,67.0317,360,216.0157,241.3399
3.81,67.9199,360,218.8817,244.2308
3.86,68.8078,360,221.747,247.1212
3.91,69.6955,360,224.6115,250.0111
3.96,70.5829,360,227.4752,252.9003
4.01,71.4678,357.8,228.925,254.0915
4.06,72.3437,354.2,229.4055,254.1362
4.11,73.2102,350.6,229.7998,254.0993
4.16,74.0675,347.1,230.1759,254.0614
4.21,74.9152,343.2882,230.2596,253.6967
4.26,75.7528,339.4749,230.2537,253.2474
4.31,76.5807,335.7885,230.248,252.8188
4.36,77.3991,332.2222,230.2426,252.4096
4.41,78.2084,328.7695,230.2374,252.0186
4.46,79.0089,325.4247,230.2325,251.6445
4.51,79.8007,322.1822,230.2277,251.2865
4.56,80.5843,319.037,230.2231,250.9435
4.61,81.3597,315.9843,230.2187,250.6146
4.66,82.1272,313.0197,230.2145,250.2991
4.71,82.8871,310.139,230.2104,249.9962
4.76,83.6395,307.3385,230.2065,249.7052
4.81,84.3847,304.6144,230.2027,249.4255
4.86,85.1228,301.9634,230.199,249.1564
4.91,85.8541,299.3823,230.1955,248.8975
4.96,86.5787,296.8681,230.1921,248.6481
5.01,87.2967,294.4179,230.1888,248.4078
5.06,88.0083,292.0292,230.1856,248.1762
5.11,88.7137,289.6994,230.1825,247.9527
5.16,89.413,287.4261,230.1796,247.7372
5.21,90.1064,285.2071,230.1767,247.529
5.26,90.794,283.0404,230.1739,247.328
5.31,91.4759,280.9238,230.1711,247.1337
5.36,92.1523,278.8556,230.1685,246.9459
5.41,92.8232,276.8339,230.166,246.7643
5.46,93.4888,274.8569,230.1635,246.5886
5.51,94.1492,272.9232,230.1611,246.4186
5.56,94.8045,271.0312,230.1587,246.254
5.61,95.4549,269.1793,230.1564,246.0945
5.66,96.1003,267.3663,230.1542,245.9401
5.71,96.741,265.5908,230.1521,245.7904
5.76,97.3769,263.8514,230.15,245.6452
5.81,98.0082,262.1471,230.1479,245.5045
5.86,98.6351,260.4767,230.1459,245.3679
5.91,99.2574,258.8391,230.144,245.2354
5.96,99.8755,257.2332,230.1421,245.1069
6.01,100.4892,255.658,230.1403,244.982
6.06,101.0988,254.1126,230.1385,244.8608
6.11,101.7042,252.5961,230.1367,244.743
6.16,102.3056,251.1075,230.135,244.6286
6.21,102.903,249.6461,230.1333,244.5174
6.26,103.4964,248.2111,230.1317,244.4093
6.31,104.0861,246.8016,230.1301,244.3042
6.36,104.6719,245.4169,230.1285,244.202
6.41,105.254,244.0564,230.127,244.1025
6.46,105.8325,242.7192,230.1255,244.0058
6.51,106.4074,241.4049,230.1241,243.9117
6.56,106.9787,240.1127,230.1227,243.8201
6.61,107.5465,238.8421,230.1213,243.7309
6.66,108.1109,237.5924,230.1199,243.6441
6.71,108.6719,236.3631,230.1186,243.5596
6.76,109.2296,235.1537,230.1173,243.4773
6.81,109.784,233.9636,230.116,243.3971
6.86,110.3351,232.7923,230.1147,243.319
6.91,110.8831,231.6394,230.1135,243.2428
6.96,111.428,230.5044,230.1123,243.1686
7.01,111.9697,229.3868,230.1111,243.0963
7.06,112.5084,228.2862,230.11,243.0259
7.11,113.0441,227.2022,230.1089,242.9572
7.16,113.5768,226.1343,230.1077,242.8902
7.21,114.1066,225.0823,230.1067,242.8248
7.26,114.6335,224.0456,230.1056,242.7611
7.31,115.1576,223.024,230.1045,242.699
7.36,115.6788,222.0171,230.1035,242.6384
7.41,116.1973,221.0245,230.1025,242.5792
7.46,116.713,220.0459,230.1015,242.5216
7.51,117.2261,219.081,230.1005,242.4653
7.56,117.7365,218.1295,230.0996,242.4103
7.61,118.2442,217.1911,230.0986,242.3567
7.66,118.7494,216.2654,230.0977,242.3044
7.71,119.2519,215.3523,230.0968,242.2534
7.76,119.752,214.4514,230.0959,242.2035
7.81,120.2495,213.5625,230.0951,242.1549
7.86,120.7446,212.6852,230.0942,242.1074
7.91,121.2372,211.8195,230.0933,242.061
7.96,121.7274,210.9649,230.0925,242.0157
8.01,122.2152,210.1214,230.0917,241.9715
8.06,122.7007,209.2886,230.0909,241.9283
8.11,123.1838,208.4663,230.0901,241.8862
8.16,123.6646,207.6544,230.0893,241.845
8.21,124.1432,206.8525,230.0886,241.8048
8.26,124.6195,206.0606,230.0878,241.7656
8.31,125.0935,205.2784,230.0871,241.7273
8.36,125.5654,204.5057,230.0863,241.6898
8.41,126.0351,203.7423,230.0856,241.6532
8.46,126.5026,202.9881,230.0849,241.6175
8.51,126.968,202.2428,230.0842,241.5826
8.56,127.4313,201.5064,230.0835,241.5486
8.61,127.8924,200.7786,230.0828,241.5153
8.66,128.3516,200.0592,230.0822,241.4828
8.71,128.8086,199.3482,230.0815,241.451
8.76,129.2637,198.6453,230.0809,241.42
8.81,129.7168,197.9504,230.0802,241.3898
8.86,130.1678,197.2633,230.0796,241.3602
8.91,130.6169,196.584,230.079,241.3313
8.96,131.0641,195.9123,230.0784,241.3031
9.01,131.5093,195.248,230.0778,241.2755
9.06,131.9527,194.591,230.0772,241.2486
9.11,132.3941,193.9412,230.0766,241.2223
9.16,132.8337,193.2984,230.076,241.1967
9.21,133.2714,192.6625,230.0755,241.1716
9.26,133.7073,192.0335,230.0749,241.1472
9.31,134.1414,191.4112,230.0744,241.1233
9.36,134.5737,190.7954,230.0738,241.0999
9.41,135.0042,190.1861,230.0733,241.0772
9.46,135.433,189.5831,230.0727,241.055
9.51,135.8599,188.9864,230.0722,241.0333
9.56,136.2852,188.3959,230.0717,241.0121
9.61,136.7088,187.8114,230.0712,240.9914
9.66,137.1306,187.2328,230.0707,240.9712
9.71,137.5508,186.6601,230.0702,240.9516
9.76,137.9692,186.0931,230.0697,240.9323
9.81,138.3861,185.5318,230.0692,240.9136
9.86,138.8013,184.9761,230.0687,240.8953
9.91,139.2148,184.4258,230.0683,240.8775
9.96,139.6268,183.8809,230.0678,240.8601
10.01,140.0371,183.3414,230.0673,240.8432
10.06,140.4459,182.8071,230.0669,240.8266
10.11,140.853,182.2779,230.0664,240.8105
10.16,141.2587,181.7538,230.066,240.7948
10.21,141.6628,181.2346,230.0655,240.7795
10.26,142.0653,180.7204,230.0651,240.7646
10.31,142.4663,180.2111,230.0647,240.75
10.36,142.8658,179.7064,230.0643,240.7359
10.41,143.2639,179.2065,230.0638,240.7221
10.46,143.6604,178.7112,230.0634,240.7086
10.51,144.0554,178.2205,230.063,240.6956
10.56,144.449,177.7343,230.0626,240.6829
10.61,144.8412,177.2524,230.0622,240.6705
10.66,145.2319,176.775,230.0618,240.6584
10.71,145.6212,176.3018,230.0614,240.6467
10.76,146.0091,175.8329,230.061,240.6353
10.81,146.3955,175.3681,230.0607,240.6242
10.86,146.7806,174.9075,230.0603,240.6135
10.91,147.1643,174.4509,230.0599,240.603
10.96,147.5466,173.9983,230.0595,240.5929
11.01,147.9275,173.5497,230.0592,240.583
11.06,148.3071,173.1049,230.0588,240.5734
11.11,148.6854,172.664,230.0585,240.5641
11.16,149.0623,172.2269,230.0581,240.5551
11.21,149.4379,171.7935,230.0578,240.5464
11.26,149.8122,171.3638,230.0574,240.5379
11.31,150.1852,170.9377,230.0571,240.5298
11.36,150.5568,170.5152,230.0567,240.5218
11.41,150.9272,170.0963,230.0564,240.5141
11.46,151.2964,169.6808,230.0561,240.5067
11.51,151.6642,169.2687,230.0557,240.4995
11.56,152.0308,168.8601,230.0554,240.4926
11.61,152.3961,168.4548,230.0551,240.4859
11.66,152.7603,168.0528,230.0548,240.4794
11.71,153.1231,167.6541,230.0545,240.4732
11.76,153.4848,167.2587,230.0541,240.4672
11.81,153.8452,166.8663,230.0538,240.4614
11.86,154.2044,166.4772,230.0535,240.4558
11.91,154.5625,166.0911,230.0532,240.4505
11.96,154.9193,165.7081,230.0529,240.4454
