t_s,target_kmh,speed_kmh,battery_kw,soc_pct,pack_c,motor_c,inverter_c
0,0,0,0.7,79.9999,23,23.0001,23.0001
1,2.2,2.1735,2.106,79.9993,23,23.0167,23.0335
2,4.4,4.2484,2.9805,79.9985,23,23.0329,23.0661
3,6.3,6.1532,3.4649,79.9975,23,23.0484,23.0971
4,7.9,7.7899,3.7271,79.9963,23,23.0627,23.1253
5,9.2,9.1961,3.724,79.9951,23,23.076,23.1515
6,10.4,10.4411,4.0772,79.9939,23,23.0888,23.1766
7,11.5,11.7197,4.4577,79.9925,23,23.1021,23.2026
8,12.9,13.1619,5.6305,79.9909,23.0001,23.1167,23.231
9,14.7,14.9728,7.4402,79.9887,23.0001,23.1339,23.2647
10,17,17.2346,10.063,79.9858,23.0001,23.1551,23.3061
11,19.8,19.9817,13.2589,79.982,23.0002,23.1813,23.3575
12,23.1,23.1571,17.1887,79.977,23.0003,23.2129,23.4193
13,26.7,26.6596,20.6131,79.9707,23.0005,23.2493,23.4907
14,30.5,30.2833,24.1778,79.9634,23.0007,23.2884,23.5673
15,34.1,33.8859,25.8203,79.9553,23.001,23.3288,23.6461
16,37.5,37.2686,26.5777,79.9468,23.0014,23.3681,23.7222
17,40.6,40.3649,26.6538,79.9382,23.0017,23.4057,23.7946
18,43.3,43.1334,25.2007,79.9299,23.002,23.4413,23.8626
19,45.7,45.5229,23.796,79.922,23.0023,23.4747,23.9259
20,47.7,47.546,21.483,79.9148,23.0026,23.5062,23.9851
21,49.3,49.1688,18.5899,79.9084,23.0028,23.5359,24.0402
22,50.5,50.4208,16.5384,79.9029,23.0029,23.5641,24.0923
23,51.3,51.3918,13.1731,79.8981,23.003,23.5915,24.1425
24,52.1,52.1364,13.3096,79.894,23.0031,23.6183,24.1914
25,52.7,52.8336,11.7472,79.8899,23.0032,23.6454,24.2404
26,53.4,53.439,12.169,79.886,23.0032,23.6724,24.2892
27,54,54.0263,11.9047,79.8822,23.0033,23.6996,24.3382
28,54.5,54.5702,11.5737,79.8784,23.0034,23.7269,24.3873
29,55,55.1077,11.734,79.8746,23.0034,23.7545,24.4365
30,55.6,55.7038,13.0227,79.8706,23.0035,23.7825,24.4865
31,56.3,56.4469,15.0439,79.866,23.0036,23.8114,24.538
32,57.2,57.4174,17.5519,79.8606,23.0037,23.8416,24.592
33,58.5,58.6952,21.916,79.8541,23.0039,23.8739,24.65
34,60.2,60.3574,26.691,79.846,23.0042,23.9093,24.714
35,62.3,62.3638,31.0161,79.8363,23.0047,23.9481,24.7847
36,64.7,64.5915,34.3728,79.8255,23.0052,23.99,24.8611
37,67.1,66.833,34.6142,79.8142,23.0058,24.0333,24.9402
38,69.2,68.8474,33.2239,79.8034,23.0064,24.0761,25.0178
39,70.7,70.5088,27.2752,79.7937,23.0068,24.1175,25.0924
40,71.9,71.7361,24.2016,79.7856,23.0071,24.1571,25.163
41,72.7,72.6673,19.2824,79.7786,23.0073,24.1959,25.2317
42,73.4,73.3143,17.921,79.7727,23.0075,24.2339,25.2985
43,73.8,73.7796,13.8214,79.7676,23.0076,24.2717,25.3645
44,74.1,73.9719,11.9178,79.7636,23.0077,24.3088,25.429
45,74,73.8897,5.8449,79.7607,23.0077,24.3454,25.4922
46,73.6,73.3779,2.3789,79.7597,23.0077,24.3813,25.5538
47,72.5,72.8171,2.4261,79.759,23.0077,24.4168,25.6143
48,70.8,71.2544,2.3747,79.7619,23.008,24.4584,25.6868
49,68.6,69.1775,2.3074,79.7667,23.0085,24.5022,25.7635
50,66.2,66.6013,2.2255,79.7731,23.009,24.548,25.8439
51,64,64.5477,2.1614,79.7776,23.0094,24.589,25.9142
52,62.2,63.0148,2.1143,79.7803,23.0096,24.6252,25.9749
53,60.9,61.5397,-48.5388,79.7827,23.0099,24.6603,26.0329
54,60.2,60.9902,2.053,79.7822,23.0099,24.6885,26.0768
55,60,60.4941,2.0381,79.7815,23.0099,24.7161,26.1193
56,60.4,60.2167,10.3321,79.7801,23.0099,24.7435,26.1614
57,61.4,61.1688,21.2474,79.7744,23.01,24.7743,26.2101
58,63.2,62.9105,30.2348,79.7656,23.0104,24.8103,26.2691
59,65.6,65.2741,38.5452,79.7541,23.011,24.8522,26.34
60,68.4,68.1058,44.4906,79.7403,23.0119,24.9002,26.4227
61,71.6,71.2434,51.5466,79.7244,23.0131,24.9534,26.5155
62,74.9,74.5685,54.4603,79.7069,23.0145,25.0108,26.6166
63,78.4,77.9711,58.7891,79.6882,23.0161,25.0715,26.7238
64,81.8,81.32,58.9259,79.6687,23.0179,25.1339,26.8341
65,84.9,84.3415,55.1428,79.6501,23.0195,25.1949,26.941
66,87.4,86.8195,48.8175,79.6336,23.0208,25.2524,27.0404
67,89,88.6577,38.0564,79.6199,23.0217,25.3061,27.1317
68,90,89.8496,29.5575,79.6093,23.0222,25.3565,27.2162
69,90.6,90.6113,24.5431,79.6009,23.0225,25.4054,27.2972
70,91,91.1519,21.0576,79.5935,23.0228,25.4538,27.377
71,91.5,91.6194,22.6601,79.5865,23.023,25.5022,27.4566
72,92,92.1646,22.6297,79.579,23.0232,25.5512,27.537
73,92.7,92.7658,25.6374,79.5711,23.0235,25.6008,27.6184
74,93.4,93.4682,25.7489,79.5626,23.0239,25.6513,27.7012
75,94.2,94.1867,27.9996,79.5539,23.0242,25.7023,27.7848
76,94.9,94.963,27.802,79.5448,23.0246,25.7541,27.8696
77,95.7,95.771,29.8666,79.5354,23.025,25.8066,27.9555
78,96.6,96.6948,31.7384,79.5253,23.0255,25.8603,28.0435
79,97.7,97.7554,36.1786,79.5142,23.026,25.9154,28.1341
80,98.9,99.0102,38.4492,79.5018,23.0267,25.9724,28.2283
81,100.4,100.406,42.9293,79.4883,23.0276,26.0314,28.326
82,102,101.9472,45.9172,79.4737,23.0286,26.0925,28.4276
83,103.6,103.5476,47.3036,79.4584,23.0297,26.1553,28.5322
84,105.2,105.1642,48.8146,79.4427,23.0308,26.2194,28.6393
85,106.8,106.807,49.5824,79.4265,23.032,26.2851,28.749
86,108.5,108.4689,51.9432,79.4099,23.0333,26.3524,28.8613
87,110.2,110.1764,53.8731,79.3925,23.0347,26.4213,28.9768
88,111.9,111.9002,53.5998,79.3747,23.0362,26.4919,29.095
89,113.7,113.5832,55.9674,79.3568,23.0377,26.5636,29.2151
90,115.3,115.2289,54.3695,79.3388,23.0392,26.6364,29.3371
91,116.8,116.7469,52.9669,79.3213,23.0406,26.7097,29.4594
92,118.2,118.1582,51.6797,79.3042,23.0419,26.7835,29.5823
93,119.5,119.4665,50.4132,79.2876,23.0432,26.8577,29.7058
94,120.7,120.6575,47.6349,79.2715,23.0444,26.9323,29.8294
95,121.8,121.6858,46.06,79.2564,23.0455,27.0068,29.9524
96,122.6,122.5376,41.0554,79.2424,23.0464,27.0812,30.0746
97,123.2,123.1475,36.0245,79.2299,23.0471,27.1548,30.1951
98,123.6,123.5225,32.0053,79.2191,23.0476,27.2279,30.3137
