t_s,target_kmh,speed_kmh,battery_kw,soc_pct,pack_c,motor_c,inverter_c
0,0,0,0.7,79.9999,23,23.0001,23.0001
1,0,0,0.7,79.9996,23,23.0066,23.0132
2,0,0,0.7,79.9994,23,23.013,23.0262
3,0,0,0.7,79.9992,23,23.0195,23.0391
4,0,0,0.7,79.999,23,23.0259,23.0519
5,0,0,0.7,79.9987,23,23.0324,23.0646
6,0,0,0.7,79.9985,23,23.0388,23.0772
7,0,0,0.7,79.9983,23,23.0452,23.0897
8,0,0,0.7,79.998,23,23.0515,23.1021
9,0,0,0.7,79.9978,23,23.0579,23.1144
10,0,0,0.7,79.9976,23,23.0642,23.1267
11,0,0.0554,0.7383,79.9974,23,23.0707,23.1392
12,0.2,0.9164,1.1187,79.9971,23,23.0796,23.1563
13,1.7,2.7013,2.1681,79.9965,23,23.0934,23.1835
14,5.4,5.5271,4.9403,79.9953,23,23.1164,23.2289
15,9.9,9.1477,9.9501,79.993,23,23.1487,23.293
16,13.1,13.1948,11.8768,79.9895,23.0001,23.1873,23.3694
17,16.9,17.1498,14.6688,79.985,23.0002,23.2259,23.4453
18,21.7,21.1076,17.4765,79.9795,23.0003,23.2658,23.5236
19,26,24.5488,19.7835,79.9738,23.0005,23.3005,23.5912
20,27.5,27.0026,11.4354,79.9691,23.0006,23.3271,23.642
21,28.1,28.0714,7.2448,79.9663,23.0006,23.3447,23.6745
22,28.3,28.5941,4.4227,79.9645,23.0006,23.3606,23.7032
23,28.8,29.0043,7.4892,79.9627,23.0007,23.3763,23.7316
24,29.1,29.7852,5.0705,79.9604,23.0007,23.3933,23.7626
25,30.8,30.7262,12.8882,79.9576,23.0007,23.4115,23.7957
26,31.9,32.4003,11.8998,79.9534,23.0008,23.4337,23.8368
27,34.1,34.2368,16.716,79.9486,23.0009,23.4577,23.8814
28,36.6,36.5168,19.6318,79.9425,23.0011,23.4859,23.9341
29,39.1,38.8152,19.4449,79.9361,23.0013,23.5152,23.9889
30,41.3,40.7789,19.1164,79.93,23.0014,23.5428,24.0401
31,42.5,42.2964,14.1683,79.9249,23.0016,23.5684,24.087
32,43.3,43.2606,11.1322,79.9209,23.0016,23.5917,24.129
33,43.9,43.9057,8.7619,79.9177,23.0017,23.6141,24.169
34,44.4,44.2791,7.4622,79.9152,23.0017,23.6359,24.2077
35,44.5,44.3125,2.7418,79.9135,23.0017,23.6572,24.2452
36,44.2,43.8956,1.5773,79.9129,23.0017,23.6779,24.2814
37,42.7,42.9578,1.5534,79.9135,23.0018,23.7018,24.3237
38,39.9,40.0324,-30.8908,79.9183,23.002,23.7381,24.3911
39,37,37.5244,1.4193,79.922,23.0022,23.7704,24.45
40,34.6,34.6153,-26.427,79.9261,23.0024,23.8042,24.5116
41,32.3,32.1229,1.2934,79.9292,23.0025,23.8339,24.5649
42,29,28.7173,-21.5584,79.9334,23.0027,23.8686,24.6279
43,25.1,25.7278,1.1541,79.9365,23.0028,23.8993,24.6824
44,22.2,23.3061,1.1041,79.9386,23.0028,23.925,24.727
45,20.9,21.9107,1.076,79.9394,23.0029,23.9431,24.7558
46,20.4,21.0288,1.0585,79.9396,23.0029,23.9572,24.7767
47,19.5,20.1481,1.0412,79.9398,23.0029,23.9711,24.7968
48,18.4,19.2689,1.0241,79.94,23.0029,23.9846,24.8163
49,17.8,18.391,1.0073,79.9401,23.0029,23.9978,24.8351
50,17.8,18.025,1.0003,79.9398,23.0029,24.0075,24.8466
51,17.4,16.7189,-10.8979,79.9402,23.0029,24.023,24.87
52,15.7,15.4017,0.9514,79.9407,23.0029,24.0376,24.8915
53,13.1,13.8186,0.9228,79.9412,23.0029,24.0526,24.9138
54,12.1,12.725,0.9034,79.9414,23.0029,24.0642,24.9289
55,12,12.3657,0.8971,79.9411,23.0029,24.0719,24.9365
56,12,12.0068,0.8908,79.9408,23.0029,24.0796,24.9438
57,12,11.6482,0.8846,79.9405,23.0029,24.0872,24.951
58,12.3,11.6678,3.2752,79.94,23.0029,24.0951,24.959
59,12.6,12.5343,2.2757,79.9388,23.0029,24.1053,24.9713
60,14.7,13.44,6.1064,79.9375,23.0029,24.1161,24.9849
61,15.3,14.6983,4.1225,79.9359,23.003,24.1285,25.0019
62,15.9,15.4292,4.3625,79.9346,23.003,24.139,25.0148
63,16.2,16.1461,3.3438,79.9333,23.003,24.1496,25.028
64,17.1,16.7566,4.2281,79.932,23.003,24.1601,25.041
65,17.8,17.4192,4.3494,79.9307,23.003,24.171,25.0546
66,18.1,18.0749,5.1153,79.9293,23.003,24.182,25.0687
67,18.4,19.07,5.3726,79.9275,23.003,24.1946,25.0857
68,20.3,20.6633,9.8738,79.9248,23.003,24.2108,25.1101
69,23.2,23.1845,14.794,79.9207,23.0031,24.2345,25.1494
70,26.5,26.2301,18.1146,79.9152,23.0033,24.2642,25.2006
71,29.8,29.2852,19.2252,79.9091,23.0034,24.2951,25.2541
72,32.6,31.9405,18.4094,79.9031,23.0036,24.3232,25.3019
73,34.4,33.9883,14.9636,79.8979,23.0037,24.3474,25.3414
74,35.5,35.4208,11.782,79.8938,23.0038,24.3682,25.3741
75,36.4,36.5043,10.4981,79.8902,23.0039,24.3877,25.404
76,37.4,37.48,10.2081,79.8868,23.0039,24.4072,25.4338
77,38.5,38.3673,10.011,79.8835,23.004,24.4267,25.4635
78,39.3,39.0203,7.9897,79.8807,23.004,24.4458,25.4922
79,39.5,39.2521,5.5681,79.8787,23.004,24.4639,25.5189
80,39,39.0691,1.4566,79.8778,23.004,24.4815,25.5445
81,38.5,38.6574,1.4466,79.8773,23.004,24.4987,25.5694
82,37.3,38.247,1.4367,79.8768,23.004,24.5158,25.5937
83,37,37.8377,1.4268,79.8764,23.004,24.5326,25.6176
84,36.7,37.4297,1.417,79.8759,23.004,24.5493,25.6411
85,35.9,36.5122,1.3951,79.8764,23.0041,24.5691,25.6708
86,35.3,35.5971,1.3735,79.8769,23.0041,24.5885,25.6997
87,34.6,34.6843,1.3522,79.8773,23.0041,24.6076,25.7277
88,34.2,33.2637,1.3194,79.8787,23.0042,24.6295,25.7615
89,31.9,30.3659,-22.9202,79.8822,23.0043,24.6605,25.8134
90,27.3,26.3513,1.1673,79.887,23.0045,24.6977,25.8775
91,22,21.4253,-15.5268,79.892,23.0046,24.7393,25.9504
92,17,17.4814,-12.0488,79.895,23.0047,24.7728,26.0065
93,14.2,14.4226,-7.7544,79.8967,23.0047,24.7968,26.0435
94,12,11.8956,-4.8788,79.8978,23.0047,24.8143,26.0671
95,9.1,9.2989,-2.5334,79.8987,23.0047,24.8289,26.0848
96,5.8,6.934,-0.9398,79.8992,23.0047,24.8399,26.0952
97,3.6,5.2133,-0.1122,79.8994,23.0047,24.8474,26.0986
98,2.2,3.6005,0.4153,79.8993,23.0047,24.8563,26.1049
99,0,1.8155,0.5901,79.8992,23.0047,24.8615,26.1038
100,0,0,0.7,79.899,23.0047,24.8652,26.0996
101,0,0,0.7,79.8987,23.0047,24.8688,26.0954
102,0,0,0.7,79.8985,23.0047,24.8725,26.0913
103,0,0,0.7,79.8983,23.0047,24.8761,26.0874
104,0,0,0.7,79.8981,23.0047,24.8798,26.0836
105,0,0,0.7,79.8978,23.0047,24.8836,26.0799
106,0,0,0.7,79.8976,23.0047,24.8873,26.0763
107,0,0,0.7,79.8974,23.0047,24.8911,26.0729
108,0,0,0.7,79.8972,23.0047,24.8948,26.0695
109,0,0,0.7,79.8969,23.0047,24.8986,26.0663
