t_min,soc_pct,input_kw,pack_kw
0.0002,10,0,0
0.1668,10.4002,149.9001,148.0011
0.3335,10.8768,149.7809,147.8831
0.5002,11.3527,149.6619,147.7653
0.6668,11.828,149.5431,147.6477
0.8335,12.3027,149.4244,147.5302
1.0002,12.7768,149.3059,147.4129
1.1668,13.2502,149.1876,147.2957
1.3335,13.7231,149.0694,147.1787
1.5002,14.1953,148.9513,147.0618
1.6668,14.6669,148.8334,146.9451
1.8335,15.1378,148.7157,146.8285
2.0002,15.6082,148.5981,146.7121
2.1668,16.0779,148.4806,146.5958
2.3335,16.547,148.3634,146.4797
2.5002,17.0156,148.2462,146.3638
2.6668,17.4835,148.1293,146.248
2.8335,17.9508,148.0124,146.1323
3.0002,18.4175,147.8958,146.0168
3.1668,18.8835,147.7792,145.9014
3.3335,19.349,147.6629,145.7862
3.5002,19.8139,147.5466,145.6712
3.6668,20.2782,147.4306,145.5563
3.8335,20.742,147.3146,145.4415
4.0002,21.2053,147.1988,145.3268
4.1668,21.6682,147.0831,145.2122
4.3335,22.1306,146.9675,145.0978
4.5002,22.5925,146.852,144.9835
4.6668,23.0539,146.7366,144.8693
4.8335,23.5149,146.6214,144.7552
5.0002,23.9754,146.5063,144.6412
5.1668,24.4354,146.3913,144.5274
5.3335,24.8949,146.2764,144.4136
5.5002,25.354,146.1616,144.3
5.6668,25.8126,146.047,144.1865
5.8335,26.2708,145.9324,144.0731
6.0002,26.7284,145.818,143.9598
6.1668,27.1856,145.7037,143.8467
6.3335,27.6424,145.5895,143.7336
6.5002,28.0986,145.4755,143.6207
6.6668,28.5544,145.3615,143.5079
6.8335,29.0098,145.2477,143.3952
7.0002,29.4647,145.1339,143.2826
7.1668,29.9191,145.0203,143.1701
7.3335,30.3726,144.5348,142.6895
7.5002,30.8243,143.9702,142.1305
7.6668,31.2743,143.4077,141.5736
7.8335,31.7225,142.8474,141.0189
8.0002,32.169,142.2893,140.4664
8.1668,32.6137,141.7334,139.9161
8.3335,33.0567,141.1797,139.3679
8.5002,33.4979,140.6282,138.8219
8.6668,33.9374,140.0788,138.278
8.8335,34.3752,139.5316,137.7363
9.0002,34.8112,138.9865,137.1967
9.1668,35.2456,138.4436,136.6591
9.3335,35.6782,137.9028,136.1237
9.5002,36.1092,137.3641,135.5904
9.6668,36.5384,136.8275,135.0592
9.8335,36.966,136.293,134.5301
10.0002,37.3919,135.7606,134.003
