t_s,speed_kmh,pack_kw,healthy_kw
0.01,0,0.7,0.7
0.03,0.337,24.8285,24.8285
0.05,0.6957,25.9902,25.9902
0.07,1.0545,27.1518,27.1518
0.09,1.4133,28.3135,28.3135
0.11,1.7721,29.4752,29.4752
0.13,2.1308,30.637,30.637
0.15,2.4896,31.7987,31.7987
0.17,2.8484,32.9605,32.9605
0.19,3.2071,34.1224,34.1224
0.21,3.5659,35.2842,35.2842
0.23,3.9247,36.4461,36.4461
0.25,4.2834,37.608,37.608
0.27,4.6422,38.77,38.77
0.29,5.001,39.932,39.932
0.31,5.3597,41.0939,41.0939
0.33,5.7185,42.256,42.256
0.35,6.0772,43.418,43.418
0.37,6.436,44.5801,44.5801
0.39,6.7947,45.7421,45.7421
0.41,7.1535,46.9042,46.9042
0.43,7.5122,48.0664,48.0664
0.45,7.8709,49.2285,49.2285
0.47,8.2297,50.3907,50.3907
0.49,8.5884,51.5529,51.5529
0.51,8.9471,52.7151,52.7151
0.53,9.3058,53.8773,53.8773
0.55,9.6645,55.0395,55.0395
0.57,10.0232,56.2017,56.2017
0.59,10.3819,57.364,57.364
0.61,10.7406,58.5263,58.5263
0.63,11.0993,59.6886,59.6886
0.65,11.458,60.8509,60.8509
0.67,11.8166,62.0132,62.0132
0.69,12.1753,63.1755,63.1755
0.71,12.534,64.3379,64.3379
0.73,12.8926,65.5002,65.5002
0.75,13.2513,66.6626,66.6626
0.77,13.6099,67.825,67.825
0.79,13.9685,68.9874,68.9874
0.81,14.3272,70.1497,70.1497
0.83,14.6858,71.3121,71.3121
0.85,15.0444,72.4746,72.4746
0.87,15.403,73.637,73.637
0.89,15.7616,74.7994,74.7994
0.91,16.1202,75.9618,75.9618
0.93,16.4787,77.1242,77.1242
0.95,16.8373,78.2867,78.2867
0.97,17.1959,79.4491,79.4491
0.99,17.5544,80.6115,80.6115
1.01,17.9129,81.774,81.774
1.03,18.2715,82.9364,82.9364
1.05,18.63,84.0988,84.0988
1.07,18.9885,85.2613,85.2613
1.09,19.347,86.4237,86.4237
1.11,19.7055,87.5862,87.5862
1.13,20.0639,88.7486,88.7486
1.15,20.4224,89.911,89.911
1.17,20.7809,91.0735,91.0735
1.19,21.1393,92.2359,92.2359
1.21,21.4977,93.3983,93.3983
1.23,21.8561,94.5607,94.5607
1.25,22.2145,95.7231,95.7231
1.27,22.5729,96.8855,96.8855
1.29,22.9313,98.0479,98.0479
1.31,23.2897,99.2103,99.2103
1.33,23.648,100.3727,100.3727
1.35,24.0064,101.535,101.535
1.37,24.3647,102.6974,102.6974
1.39,24.723,103.8598,103.8598
1.41,25.0813,105.0221,105.0221
1.43,25.4396,106.1844,106.1844
1.45,25.7979,107.3467,107.3467
1.47,26.1561,108.509,108.509
1.49,26.5144,109.6713,109.6713
1.51,26.8726,110.8336,110.8336
1.53,27.2308,111.9958,111.9958
1.55,27.589,113.1581,113.1581
1.57,27.9472,114.3203,114.3203
1.59,28.3054,115.4825,115.4825
1.61,28.6635,116.6447,116.6447
1.63,29.0217,117.8069,117.8069
1.65,29.3798,118.969,118.969
1.67,29.7379,120.1312,120.1312
1.69,30.096,121.2933,121.2933
1.71,30.454,122.4554,122.4554
1.73,30.8121,123.6174,123.6174
1.75,31.1701,124.7795,124.7795
1.77,31.5281,125.9415,125.9415
1.79,31.8862,127.1035,127.1035
1.81,32.2441,128.2655,128.2655
1.83,32.6021,129.4274,129.4274
1.85,32.9601,130.5894,130.5894
1.87,33.318,131.7513,131.7513
1.89,33.6759,132.9131,132.9131
1.91,34.0338,134.075,134.075
1.93,34.3917,135.2368,135.2368
1.95,34.7495,136.3986,136.3986
1.97,35.1074,137.5604,137.5604
1.99,35.4652,138.7221,138.7221
2.01,35.823,139.8838,139.8838
2.03,36.1808,141.0455,141.0455
2.05,36.5385,142.2071,142.2071
2.07,36.8962,143.3687,143.3687
2.09,37.2341,126.729,144.5303
2.11,37.5504,126.6098,145.6918
2.13,37.8648,126.7,146.8533
2.15,38.1773,126.7307,148.0148
2.17,38.488,126.8836,149.1762
2.19,38.7965,126.8391,150.3376
2.21,39.1031,126.6875,151.499
2.23,39.408,126.8444,152.6603
2.25,39.7109,126.8494,153.8216
2.27,40.0121,126.8407,154.9828
2.29,40.3114,126.8184,156.144
2.31,40.6089,126.83,157.3052
2.33,40.9049,126.8292,158.4663
2.35,41.1989,126.8154,159.6274
2.37,41.4914,126.8372,160.7884
2.39,41.7823,126.8472,161.9494
2.41,42.0714,126.8453,163.1104
2.43,42.3589,126.8317,164.2713
2.45,42.645,126.9526,165.4322
2.47,42.9294,126.9655,166.593
2.49,43.2123,126.9679,167.7538
2.51,43.4935,126.9098,168.9145
2.53,43.7733,126.9399,170.0752
2.55,44.0516,126.9103,171.2358
2.57,44.3285,126.9199,172.3964
2.59,44.604,127.0698,173.5569
2.61,44.878,126.91,174.7174
