t_s,speed_kmh,pack_kw,shaft_kw
0.01,100.2442,245.0315,230.141
0.06,100.0254,-56.0385,-59.9046
0.11,99.8065,-56.0896,-59.9525
0.16,99.5873,-56.0528,-59.9102
0.21,99.3678,-56.1021,-59.9563
0.26,99.1479,-56.064,-59.9126
0.31,98.9278,-56.1115,-59.957
0.36,98.7073,-56.0719,-59.9119
0.41,98.4864,-56.1176,-59.9545
0.46,98.2653,-56.0767,-59.9081
0.51,98.0438,-56.1206,-59.9489
0.56,97.822,-56.0782,-59.901
0.61,97.5998,-56.1203,-59.94
0.66,97.3773,-56.1613,-59.978
0.71,97.1545,-56.1167,-59.9279
0.76,96.9313,-56.1559,-59.9642
0.81,96.7078,-56.1099,-59.9126
0.86,96.484,-56.1473,-59.947
0.91,96.2598,-56.0998,-59.8941
0.96,96.0352,-56.1353,-59.9266
1.01,95.8103,-56.1698,-59.9581
1.06,95.5851,-56.12,-59.9029
1.11,95.3594,-56.1526,-59.9326
1.16,95.1334,-56.1841,-59.9612
1.21,94.9071,-56.132,-59.9036
1.26,94.6803,-56.1616,-59.9303
1.31,94.4532,-56.1901,-59.956
1.36,94.2257,-56.1357,-59.8962
1.41,93.9979,-56.1623,-59.9199
1.46,93.7696,-56.1879,-59.9427
1.51,93.541,-56.2123,-59.9643
1.56,93.3119,-56.1546,-59.9012
1.61,93.0825,-56.1771,-59.9209
1.66,92.8527,-56.1985,-59.9395
1.71,92.6225,-56.2188,-59.957
1.76,92.3919,-56.1578,-59.8906
1.81,92.1608,-56.1761,-59.9062
1.86,91.9294,-56.1933,-59.9207
1.91,91.6976,-56.2094,-59.9341
1.96,91.4654,-56.2244,-59.9464
2.01,91.2327,-56.2383,-59.9575
2.06,90.9996,-56.1721,-59.886
2.11,90.7661,-56.1839,-59.8952
2.16,90.5322,-56.1946,-59.9032
2.21,90.2978,-56.2042,-59.9101
2.26,90.063,-56.2126,-59.9159
2.31,89.8277,-56.2199,-59.9205
2.36,89.592,-56.226,-59.924
2.41,89.3559,-56.2309,-59.9264
2.46,89.1193,-56.2347,-59.9276
2.51,88.8822,-56.2373,-59.9276
2.56,88.6447,-56.2388,-59.9265
2.61,88.4067,-56.239,-59.9242
2.66,88.1683,-56.2381,-59.9208
2.71,87.9293,-56.236,-59.9162
2.76,87.69,-56.2327,-59.9104
2.81,87.4501,-56.2282,-59.9034
2.86,87.2097,-56.2225,-59.8952
2.91,86.9689,-56.2155,-59.8858
2.96,86.7275,-56.2824,-59.953
3.01,86.4857,-56.2728,-59.9409
3.06,86.2433,-56.262,-59.9277
3.11,86.0005,-56.2499,-59.9132
3.16,85.7571,-56.2367,-59.8976
3.21,85.5132,-56.2221,-59.8807
3.26,85.2688,-56.28,-59.939
3.31,85.0239,-56.2627,-59.9193
3.36,84.7784,-56.2441,-59.8985
3.41,84.5324,-56.2972,-59.9521
3.46,84.2859,-56.2759,-59.9285
3.51,84.0388,-56.2533,-59.9036
3.56,83.7911,-56.2294,-59.8774
3.61,83.543,-56.2763,-59.9249
3.66,83.2942,-56.2496,-59.896
3.71,83.0449,-56.2931,-59.9401
