t_ms,dclink_v,pack_v,state
10,0,572.76,1
20,0,572.76,1
30,0,572.76,1
40,0,572.76,1
50,0,572.76,1
60,0,572.76,1
70,0,572.76,1
80,0,572.76,1
90,0,572.76,1
100,0,572.76,1
110,0,572.76,1
120,0,572.76,1
130,0,572.76,1
140,0,572.76,1
150,0,572.76,1
160,0,572.76,1
170,0,572.76,1
180,0,572.76,1
190,0,572.76,1
200,0,572.76,1
210,0,572.76,1
220,0,572.76,1
230,0,572.76,1
240,0,572.76,1
250,0,572.76,1
260,0,572.76,1
270,0,572.76,1
280,0,572.76,1
290,0,572.76,1
300,0,572.76,1
310,0,572.76,1
320,0,572.76,1
330,0,572.76,1
340,0,572.76,1
350,0,572.76,1
360,0,572.76,1
370,0,572.76,1
380,0,572.76,1
390,0,572.76,1
400,0,572.76,1
410,0,572.76,1
420,0,572.76,1
430,0,572.76,1
440,0,572.76,1
450,0,572.76,1
460,0,572.76,1
470,0,572.76,1
480,0,572.76,1
490,0,572.76,1
500,0,572.76,1
510,0,572.76,1
520,0,572.76,2
530,0,572.76,2
540,0,572.76,2
550,0,572.76,2
560,0,572.76,2
570,0,572.76,2
580,0,572.76,2
590,0,572.76,2
600,0,572.76,2
610,0,572.76,2
620,0,572.76,2
630,0,572.76,2
640,0,572.76,2
650,27.9229,572.5366,2
660,54.4846,572.5475,2
670,79.7513,572.5578,2
680,103.7863,572.5677,2
690,126.6495,572.5771,2
700,148.3981,572.586,2
710,169.0864,572.5945,2
720,188.7661,572.6025,2
730,207.4864,572.6102,2
740,225.294,572.6175,2
750,242.2335,572.6244,2
760,258.3472,572.6311,2
770,273.6753,572.6373,2
780,288.2562,572.6433,2
790,302.1262,572.649,2
800,315.32,572.6544,2
810,327.8706,572.6596,2
820,339.8093,572.6645,2
830,351.1661,572.6691,2
840,361.9691,572.6735,2
850,372.2455,572.6778,2
860,382.0209,572.6818,2
870,391.3197,572.6856,2
880,400.1652,572.6892,2
890,408.5795,572.6927,2
900,416.5835,572.6959,2
910,424.1974,572.6991,2
920,431.44,572.702,2
930,438.3296,572.7049,2
940,444.8833,572.7075,2
950,451.1175,572.7101,2
960,457.0477,572.7125,2
970,462.6889,572.7148,2
980,468.055,572.717,2
990,473.1596,572.7191,2
1000,478.0152,572.7211,2
1010,482.6342,572.723,2
1020,487.028,572.7248,2
1030,491.2075,572.7265,2
1040,495.1833,572.7282,2
1050,498.9653,572.7297,2
1060,502.5629,572.7312,2
1070,505.9851,572.7326,2
1080,509.2405,572.7339,2
1090,512.3372,572.7352,2
1100,515.2829,572.7364,2
1110,518.085,572.7376,2
1120,520.7505,572.7387,2
1130,523.286,572.7397,2
1140,525.698,572.7407,2
1150,527.9923,572.7416,2
1160,530.1748,572.7425,2
1170,532.2509,572.7434,2
1180,534.2258,572.7442,2
1190,536.1044,572.745,2
1200,537.8914,572.7457,2
1210,539.5913,572.7464,2
1220,541.2083,572.747,2
1230,542.7465,572.7477,2
1240,544.2097,572.7483,2
1250,545.6016,572.7488,2
1260,546.9256,572.7494,2
1270,548.1851,572.7499,2
1280,549.3831,572.7504,2
1290,550.5228,572.7509,2
1300,551.6069,572.7513,2
1310,552.6381,572.7517,2
1320,553.6191,572.7521,2
1330,554.5523,572.7525,2
1340,555.4399,572.7529,2
1350,572.7041,572.7041,2
1360,572.7041,572.7041,2
1370,572.7041,572.7041,2
1380,572.7041,572.7041,2
1390,572.7041,572.7041,2
1400,572.7041,572.7041,2
1410,572.7041,572.7041,2
1420,572.7041,572.7041,2
1430,572.7041,572.7041,2
1440,572.7041,572.7041,2
1450,572.7041,572.7041,2
1460,572.7041,572.7041,2
1470,572.7041,572.7041,2
1480,572.7041,572.7041,2
1490,572.7041,572.7041,2
1500,572.7041,572.7041,2
1510,572.7041,572.7041,2
1520,572.7041,572.7041,2
1530,572.7041,572.7041,2
1540,572.7041,572.7041,2
1550,572.7041,572.7041,2
1560,572.7041,572.7041,2
1570,572.7041,572.7041,2
1580,572.7041,572.7041,2
1590,572.7041,572.7041,2
1600,572.7041,572.7041,2
1610,572.7041,572.7041,2
1620,572.7041,572.7041,2
1630,572.7041,572.7041,3
1640,572.6622,572.6622,3
1650,572.6622,572.6622,3
1660,572.6622,572.6622,3
1670,572.6622,572.6622,3
1680,572.6622,572.6622,3
1690,572.6622,572.6622,3
1700,572.6622,572.6622,3
1710,572.6622,572.6622,3
1720,572.6622,572.6622,3
1730,572.6622,572.6622,3
1740,572.6622,572.6622,3
1750,572.6622,572.6622,3
1760,572.6622,572.6622,3
1770,572.6622,572.6622,3
1780,572.6622,572.6622,3
1790,572.6622,572.6622,3
1800,572.6622,572.6622,3
1810,572.6622,572.6622,3
1820,572.6622,572.6622,3
1830,572.6622,572.6622,3
1840,572.6622,572.6622,3
1850,572.6622,572.6622,3
1860,572.6622,572.6622,3
1870,572.6622,572.6622,3
1880,572.6622,572.6622,3
1890,572.6622,572.6622,3
1900,572.6622,572.6622,3
1910,572.6622,572.6622,3
1920,572.6622,572.6622,3
1930,572.6622,572.6622,3
1940,572.6622,572.6622,3
1950,572.6622,572.6622,3
1960,572.6622,572.6622,3
1970,572.6622,572.6622,3
1980,572.6622,572.6622,3
1990,572.6622,572.6622,3
2000,572.6622,572.6622,3
2010,572.6622,572.6622,3
2020,572.6622,572.6622,3
2030,572.6622,572.6622,3
2040,572.6622,572.6622,3
2050,572.6622,572.6622,3
2060,572.6622,572.6622,3
2070,572.6622,572.6622,3
2080,572.6622,572.6622,3
2090,572.6622,572.6622,3
2100,572.6622,572.6622,3
2110,572.6622,572.6622,3
2120,572.6622,572.6622,3
2130,572.6622,572.6622,3
2140,572.6622,572.6622,3
2150,572.6622,572.6622,3
2160,572.6622,572.6622,3
2170,572.6622,572.6622,3
2180,572.6622,572.6622,3
2190,572.6622,572.6622,3
2200,572.6622,572.6622,3
2210,572.6622,572.6622,3
2220,572.6622,572.6622,3
2230,572.6622,572.6622,3
2240,572.6622,572.6622,3
2250,572.6622,572.6622,3
2260,572.6622,572.6622,3
2270,572.6622,572.6622,3
2280,572.6622,572.6622,3
2290,572.6622,572.6622,3
2300,572.6622,572.6622,3
2310,572.6622,572.6622,3
2320,572.6622,572.6622,3
2330,572.6622,572.6622,3
2340,572.6622,572.6622,3
2350,572.6622,572.6622,3
2360,572.6622,572.6622,3
2370,572.6622,572.6622,3
2380,572.6622,572.6622,3
2390,572.6622,572.6622,3
2400,572.6622,572.6622,3
2410,572.6622,572.6622,3
2420,572.6622,572.6622,3
2430,572.6622,572.6622,3
2440,572.6622,572.6622,3
2450,572.6622,572.6622,3
2460,572.6622,572.6622,3
2470,572.6622,572.6622,3
2480,572.6622,572.6622,3
2490,572.6622,572.6622,3
2500,572.6622,572.6622,3
2510,572.6622,572.6622,3
2520,572.6622,572.6622,3
2530,572.6622,572.6622,3
2540,572.6622,572.6622,3
2550,572.6622,572.6622,3
2560,572.6622,572.6622,3
2570,572.6622,572.6622,3
2580,572.6622,572.6622,3
2590,572.6621,572.6621,3
2600,572.6621,572.6621,3
2610,572.6621,572.6621,3
2620,572.6621,572.6621,3
2630,572.6621,572.6621,3
2640,572.6621,572.6621,3
2650,572.6621,572.6621,3
2660,572.6621,572.6621,3
2670,572.6621,572.6621,3
2680,572.6621,572.6621,3
2690,572.6621,572.6621,3
2700,572.6621,572.6621,3
2710,572.6621,572.6621,3
2720,572.6621,572.6621,3
2730,572.6621,572.6621,3
2740,572.6621,572.6621,3
2750,572.6621,572.6621,3
2760,572.6621,572.6621,3
2770,572.6621,572.6621,3
2780,572.6621,572.6621,3
2790,572.6621,572.6621,3
2800,572.6621,572.6621,3
2810,572.6621,572.6621,3
2820,572.6621,572.6621,3
2830,572.6621,572.6621,3
2840,572.6621,572.6621,3
2850,572.6621,572.6621,3
2860,572.6621,572.6621,3
2870,572.6621,572.6621,3
2880,572.6621,572.6621,3
2890,572.6621,572.6621,3
2900,572.6621,572.6621,3
2910,572.6621,572.6621,3
2920,572.6621,572.6621,3
2930,572.6621,572.6621,3
2940,572.6621,572.6621,3
2950,572.6621,572.6621,3
2960,572.6621,572.6621,3
2970,572.6621,572.6621,3
2980,572.6621,572.6621,3
2990,572.6621,572.6621,3
3000,572.6621,572.6621,3
