t_s,speed_kmh
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.2
13,1.7
14,5.4
15,9.9
16,13.1
17,16.9
18,21.7
19,26.0
20,27.5
21,28.1
22,28.3
23,28.8
24,29.1
25,30.8
26,31.9
27,34.1
28,36.6
29,39.1
30,41.3
31,42.5
32,43.3
33,43.9
34,44.4
35,44.5
36,44.2
37,42.7
38,39.9
39,37.0
40,34.6
41,32.3
42,29.0
43,25.1
44,22.2
45,20.9
46,20.4
47,19.5
48,18.4
49,17.8
50,17.8
51,17.4
52,15.7
53,13.1
54,12.1
55,12.0
56,12.0
57,12.0
58,12.3
59,12.6
60,14.7
61,15.3
62,15.9
63,16.2
64,17.1
65,17.8
66,18.1
67,18.4
68,20.3
69,23.2
70,26.5
71,29.8
72,32.6
73,34.4
74,35.5
75,36.4
76,37.4
77,38.5
78,39.3
79,39.5
80,39.0
81,38.5
82,37.3
83,37.0
84,36.7
85,35.9
86,35.3
87,34.6
88,34.2
89,31.9
90,27.3
91,22.0
92,17.0
93,14.2
94,12.0
95,9.1
96,5.8
97,3.6
98,2.2
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.2
139,1.9
140,6.1
141,11.7
142,16.4
143,18.9
144,19.9
145,20.8
146,22.8
147,25.4
148,27.7
149,29.2
150,29.8
151,29.4
152,27.2
153,22.6
154,17.3
155,13.3
156,12.0
157,12.6
158,14.1
159,17.2
160,20.1
161,23.4
162,25.5
163,27.6
164,29.5
165,31.1
166,32.1
167,33.2
168,35.2
169,37.2
170,38.0
171,37.4
172,35.1
173,31.0
174,27.1
175,25.3
176,25.1
177,25.9
178,27.8
179,29.2
180,29.6
181,29.5
182,29.2
183,28.3
184,26.1
185,23.6
186,21.0
187,18.9
188,17.1
189,15.7
190,14.5
191,13.7
192,12.9
193,12.5
194,12.2
195,12.0
196,12.0
197,12.0
198,12.0
199,12.5
200,13.0
201,14.0
202,15.0
203,16.5
204,19.0
205,21.2
206,23.8
207,26.9
208,29.6
209,32.0
210,35.2
211,37.5
212,39.2
213,40.5
214,41.6
215,43.1
216,45.0
217,47.1
218,49.0
219,50.6
220,51.8
221,52.7
222,53.1
223,53.5
224,53.8
225,54.2
226,54.8
227,55.3
228,55.8
229,56.2
230,56.5
231,56.5
232,56.2
233,54.9
234,52.9
235,51.0
236,49.8
237,49.2
238,48.4
239,46.9
240,44.3
241,41.5
242,39.5
243,37.0
244,34.6
245,32.3
246,29.0
247,25.1
248,22.2
249,20.9
250,20.4
251,19.5
252,18.4
253,17.8
254,17.8
255,17.4
256,15.7
257,14.5
258,15.4
259,17.9
260,20.6
261,23.2
262,25.7
263,28.7
264,32.5
265,36.1
266,39.0
267,40.8
268,42.9
269,44.4
270,45.9
271,46.0
272,45.6
273,45.3
274,43.7
275,40.8
276,38.0
277,34.4
278,30.9
279,25.5
280,21.4
281,20.2
282,22.9
283,26.6
284,30.2
285,34.1
286,37.4
287,40.7
288,44.0
289,47.3
290,49.2
291,49.8
292,49.2
293,48.1
294,47.3
295,46.8
296,46.7
297,46.8
298,47.1
299,47.3
300,47.3
301,47.1
302,46.6
303,45.8
304,44.8
305,43.3
306,41.8
307,40.8
308,40.3
309,40.1
310,39.7
311,39.2
312,38.5
313,37.4
314,36.0
315,34.4
316,33.0
317,31.7
318,30.0
319,28.0
320,26.1
321,25.6
322,24.9
323,24.9
324,24.3
325,23.9
326,23.9
327,23.6
328,23.3
329,20.5
330,17.5
331,16.9
332,16.7
333,15.9
334,15.6
335,15.0
336,14.5
337,14.3
338,14.5
339,15.4
340,17.8
341,21.1
342,24.1
343,25.0
344,25.3
345,25.5
346,26.4
347,26.6
348,27.1
349,27.7
350,28.1
351,28.2
352,28.1
353,28.0
354,27.9
355,27.9
356,28.1
357,28.2
358,28.0
359,26.9
360,25.0
361,23.2
362,21.9
363,21.1
364,20.7
365,20.7
366,20.8
367,21.2
368,22.1
369,23.5
370,24.3
371,24.5
372,23.8
373,21.3
374,17.7
375,14.4
376,11.9
377,10.2
378,8.9
379,8.0
380,7.2
381,6.1
382,4.9
383,3.7
384,2.3
385,0.9
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.5
393,2.1
394,4.8
395,8.3
396,12.3
397,16.6
398,20.9
399,24.2
400,25.6
401,25.6
402,24.9
403,23.3
404,21.6
405,20.2
406,18.7
407,17.0
408,15.3
409,14.2
410,13.9
411,14.0
412,14.2
413,14.5
414,14.9
415,15.9
416,17.4
417,18.7
418,19.1
419,18.8
420,17.6
421,16.6
422,16.2
423,16.4
424,17.2
425,19.1
426,22.6
427,27.4
428,31.6
429,33.4
430,33.5
431,32.8
432,31.9
433,31.3
434,31.1
435,30.6
436,29.2
437,26.7
438,23.0
439,18.2
440,12.9
441,7.7
442,3.8
443,1.3
444,0.2
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.5
513,2.5
514,6.6
515,11.8
516,16.8
517,20.5
518,21.9
519,21.9
520,21.3
521,20.3
522,19.2
523,17.8
524,15.5
525,11.9
526,7.6
527,4.0
528,2.0
529,1.0
530,0.0
531,0.0
532,0.0
533,0.2
534,1.2
535,3.2
536,5.2
537,8.2
538,13.0
539,18.8
540,23.1
541,24.5
542,24.5
543,24.3
544,23.6
545,22.3
546,20.1
547,18.5
548,17.2
549,16.3
550,15.4
551,14.7
552,14.3
553,13.7
554,13.3
555,13.1
556,13.1
557,13.3
558,13.8
559,14.5
560,16.5
561,17.0
562,17.0
563,17.0
564,15.4
565,10.1
566,4.8
567,0.0
568,0.0
569,0.0
570,0.0
